condition,frame_idx,w_cam,w_lidar,r_cam,r_lidar
Camera_Outage,31,0.0,1.0,0.009999999999999998,0.24500735801827345
Camera_Outage,32,0.0,1.0,0.01,0.25391492115546727
Camera_Outage,33,0.0,1.0,0.009999999999999998,0.2024954095194468
Camera_Outage,34,0.0,1.0,0.01,0.29188463346842825
Camera_Outage,35,0.0,1.0,0.009999999999999998,0.2193252070800149
Camera_Outage,36,0.0,1.0,0.01,0.3423196184295134
Camera_Outage,37,0.0,1.0,0.01,0.30264166112289104
Camera_Outage,38,0.0,1.0,0.01,0.296253630735189
Camera_Outage,39,0.0,1.0,0.009999999999999998,0.2598250760685952
Camera_Outage,40,0.0,1.0,0.01,0.19296888717328073
Camera_Outage,41,0.0,1.0,0.01,0.3191161412335569
Camera_Outage,42,0.0,1.0,0.01,0.2705108007737559
Camera_Outage,43,0.0,1.0,0.01,0.29619615237419733
Camera_Outage,44,0.0,1.0,0.01,0.23084994105834147
Camera_Outage,45,0.0,1.0,0.009999999999999998,0.2654167911286255
Camera_Outage,46,0.0,1.0,0.01,0.24515255982829276
Camera_Outage,47,0.0,1.0,0.009999999999999998,0.25701522140188465
Camera_Outage,48,0.0,1.0,0.01,0.09434192803120778
Camera_Outage,49,0.0,1.0,0.01,0.24119704083134388
Camera_Outage,50,0.0,1.0,0.01,0.19911929492221184
Camera_Outage,51,0.0,1.0,0.01,0.2396004938174528
Camera_Outage,52,0.0,1.0,0.01,0.2643565874177555
Camera_Outage,53,0.0,1.0,0.01,0.28929922080666576
Camera_Outage,54,0.0,1.0,0.01,0.10169291420928309
Camera_Outage,55,0.0,1.0,0.01,0.26678322290389617
Camera_Outage,56,0.0,1.0,0.01,0.10168328041199803
Camera_Outage,57,0.0,1.0,0.01,0.2774531495321166
Camera_Outage,58,0.0,1.0,0.01,0.06884812873172955
Camera_Outage,59,0.0,1.0,0.01,0.2966193828125771
Camera_Outage,60,0.0,1.0,0.01,0.09591950379667247
Camera_Outage,61,0.0,1.0,0.01,0.2686958145268715
Camera_Outage,63,0.0,1.0,0.01,0.2415609777609741
Camera_Outage,64,0.0,1.0,0.01,0.07980019174560649
Camera_Outage,65,0.0,1.0,0.01,0.21194533695208673
Camera_Outage,66,0.0,1.0,0.01,0.07427736892564152
Camera_Outage,67,0.0,1.0,0.01,0.3124911616532215
Camera_Outage,68,0.0,1.0,0.01,0.07972166112167534
Camera_Outage,69,0.0,1.0,0.01,0.3077488049547278
