frame_id,timestamp,segment_id,description,blur_kernel,illumination_factor,lidar_dropout_ratio,speed_mps,accel_x_mps2,yaw_rate_dps,r_cam,r_lidar,w_cam,w_lidar,cam_health,lidar_health,confidence,cam_raw_conf,lidar_raw_conf,cross_modal_consistency,track_count,temporal_persistence,cam_detections,lidar_clusters,fused_detections,gt_targets,precision,recall,f1_score,loc_error_m,latency_ms,fps
46,3637.912287894637,lidar_recovery,LiDAR beam recovery to nominal density,0,1.0,0.7111111111111111,4.93,0.83,-10.17,0.01,0.1153,0.0,1.0,FAILED,FAILED,0.1153,0.4581,0.6994,0.5,6,0.431,6,4,4,1,0.25,1.0,0.4,2.9515,290.99,3.4
47,3637.9622878953815,lidar_recovery,LiDAR beam recovery to nominal density,0,1.0,0.6222222222222222,4.97,0.81,-10.25,0.01,0.125,0.0,1.0,FAILED,FAILED,0.125,0.4673,0.5248,0.5,7,0.463,6,6,6,10,0.3333,0.2,0.25,1.4909,295.9,3.4
48,3638.0122878961274,lidar_recovery,LiDAR beam recovery to nominal density,0,1.0,0.5333333333333334,5.01,0.8,-10.33,0.01,0.144,0.0,1.0,FAILED,FAILED,0.144,0.5908,0.6043,0.5,7,0.416,6,10,10,1,0.1,1.0,0.1818,2.3585,269.84,3.7
49,3638.062287896872,lidar_recovery,LiDAR beam recovery to nominal density,0,1.0,0.4444444444444445,5.05,0.79,-10.4,0.01,0.2294,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2294,0.4389,0.698,0.5,9,0.536,6,11,11,6,0.1818,0.3333,0.2353,1.0697,299.86,3.3
50,3638.1122878976166,lidar_recovery,LiDAR beam recovery to nominal density,0,1.0,0.35555555555555557,5.01,0.28,-3.03,0.01,0.2323,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2323,0.5189,0.6498,0.5,12,0.532,5,5,5,1,0.2,1.0,0.3333,2.9811,241.6,4.1
51,3638.1622878983617,lidar_recovery,LiDAR beam recovery to nominal density,0,1.0,0.2666666666666667,4.02,-11.79,1.86,0.01,0.1983,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.1983,0.4735,0.436,0.5,15,0.5,7,12,12,8,0.4167,0.625,0.5,0.6276,257.49,3.9
52,3638.2122878991063,lidar_recovery,LiDAR beam recovery to nominal density,0,1.0,0.1777777777777778,2.92,-21.32,4.66,0.01,0.3841,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.3841,0.4479,0.5582,0.5,14,0.435,6,1,1,1,1.0,1.0,1.0,0.9541,243.66,4.1
53,3638.262287899852,lidar_recovery,LiDAR beam recovery to nominal density,0,1.0,0.0888888888888889,1.85,-21.78,5.27,0.01,0.2783,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2783,0.5061,0.3583,0.5,14,0.429,6,5,5,6,1.0,0.8333,0.9091,0.5914,251.83,4.0
54,3638.312287900597,lidar_recovery,LiDAR beam recovery to nominal density,0,1.0,0.0,0.6,-23.3,1.38,0.01,0.1017,0.0,1.0,FAILED,FAILED,0.1017,0.4278,0.1,0.5,10,0.411,6,1,1,1,1.0,1.0,1.0,0.0384,272.54,3.7
55,3638.362287901342,camera_darkness_tunnel,Severe camera underexposure (night / tunnel entrance),5,0.1,0.0,0.0,-20.55,-0.0,0.01,0.3429,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.3429,0.5879,0.5292,0.5,5,0.48,1,4,4,4,1.0,1.0,1.0,0.0061,276.74,3.6
56,3638.412287902087,camera_darkness_tunnel,Severe camera underexposure (night / tunnel entrance),5,0.1,0.0,0.0,-2.56,-0.0,0.01,0.1017,0.0,1.0,FAILED,FAILED,0.1017,0.5711,0.1,0.5,5,0.441,1,1,1,1,1.0,1.0,1.0,0.0,248.7,4.0
57,3638.462287902832,camera_darkness_tunnel,Severe camera underexposure (night / tunnel entrance),5,0.1,0.0,0.0,-0.14,-0.0,0.01,0.2775,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2775,0.5415,0.4216,0.5,6,0.514,1,6,6,6,1.0,1.0,1.0,0.0297,369.63,2.7
58,3638.512287903577,camera_darkness_tunnel,Severe camera underexposure (night / tunnel entrance),5,0.1,0.0,0.0,0.01,-0.0,0.01,0.0688,0.0,1.0,FAILED,FAILED,0.0688,0.5395,0.1,0.5,6,0.46,1,1,1,1,1.0,1.0,1.0,0.0,261.7,3.8
59,3638.562287904322,camera_darkness_tunnel,Severe camera underexposure (night / tunnel entrance),5,0.1,0.0,0.0,0.05,-0.0,0.01,0.2966,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2966,0.5432,0.4825,0.5,6,0.489,1,6,6,6,1.0,1.0,1.0,0.017,238.25,4.2
60,3638.612287905067,high_motion_maneuver,Ego-vehicle dynamic agility (sharp turn and braking),7,0.85,0.15,0.0,0.05,-0.0,0.01,0.3229,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.3229,0.4392,0.6872,0.5,6,0.453,3,2,2,1,0.5,1.0,0.6667,1.0507,292.92,3.4
61,3638.662287905812,high_motion_maneuver,Ego-vehicle dynamic agility (sharp turn and braking),7,0.85,0.15,0.0,0.05,-0.0,0.01,0.2572,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2572,0.4637,0.5067,0.5,6,0.488,3,10,10,9,0.6,0.6667,0.6316,0.9157,251.82,4.0
62,3638.712287906557,high_motion_maneuver,Ego-vehicle dynamic agility (sharp turn and braking),7,0.85,0.15,0.0,0.04,-0.0,0.01,0.2674,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2674,0.4794,0.6741,0.5,7,0.489,3,7,7,0,0.0,1.0,0.0,0.0,180.53,5.5
63,3638.7622879073024,high_motion_maneuver,Ego-vehicle dynamic agility (sharp turn and braking),7,0.85,0.15,0.0,0.11,0.0,0.01,0.1415,0.0,1.0,FAILED,FAILED,0.1415,0.4785,0.2396,0.5,13,0.563,3,11,11,9,0.5455,0.6667,0.6,0.3675,206.17,4.9
64,3638.812287908048,high_motion_maneuver,Ego-vehicle dynamic agility (sharp turn and braking),7,0.85,0.15,0.0,-0.01,0.0,0.01,0.2208,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2208,0.4781,0.5808,0.5,14,0.492,3,3,3,1,0.3333,1.0,0.5,0.2215,195.58,5.1
65,3638.862287908793,dual_degradation_recovery,Combined camera blur + 70% LiDAR dropout transitioning to recovery,17,0.2,0.7,0.0,-0.01,0.0,0.01,0.1011,0.0,1.0,FAILED,FAILED,0.1011,0.0,0.5176,0.5,12,0.503,0,5,4,6,0.25,0.1667,0.2,0.1719,223.83,4.5
66,3638.9122879095376,dual_degradation_recovery,Combined camera blur + 70% LiDAR dropout transitioning to recovery,13,0.375,0.5249999999999999,0.0,-0.01,0.0,0.01,0.2186,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2186,0.0,0.9139,0.5,14,0.473,0,6,6,1,0.1667,1.0,0.2857,0.9396,229.3,4.4
67,3638.9622879102826,dual_degradation_recovery,Combined camera blur + 70% LiDAR dropout transitioning to recovery,9,0.55,0.35,0.0,-0.01,0.0,0.01,0.2686,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2686,0.4961,0.7693,0.5,13,0.483,1,8,8,7,0.25,0.2857,0.2667,0.5836,123.52,8.1
68,3639.012287911028,dual_degradation_recovery,Combined camera blur + 70% LiDAR dropout transitioning to recovery,5,0.7249999999999999,0.17500000000000004,0.0,-0.01,0.0,0.01,0.4877,0.0,1.0,FAILED,DEGRADED,0.4877,0.4959,0.9784,0.5,13,0.433,3,1,1,1,1.0,1.0,1.0,0.7926,269.2,3.7
69,3639.0622879117727,dual_degradation_recovery,Combined camera blur + 70% LiDAR dropout transitioning to recovery,1,0.8999999999999999,0.0,0.0,-0.01,0.0,0.01,0.3077,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.3077,0.4562,0.4938,0.5,13,0.405,6,6,6,7,1.0,0.8571,0.9231,0.1453,248.67,4.0
